career,skills
AI Engineer,mlops | pytorch | python | cloud | machine learning | openai api | llms | prompt engineering | linux | hugging face | nlp | deep learning | rag | langchain | fastapi
Machine Learning Engineer,pandas | pytorch | machine learning | mlops | scikit-learn | statistics | linux | feature engineering | model evaluation | python | data pipelines | git | kubernetes | docker | cloud | numpy | rest api | deep learning
Ruby Developer,mvc architecture | docker | rspec | sql | rest api | postgresql | ruby on rails | redis | caching | testing | ruby | cloud | sidekiq | css | git
Frontend Developer,webpack | redux | html | git | vue.js | web security | javascript | graphql | rest api | testing | next.js | accessibility | pwa | react | angular | typescript | sass
PHP Developer,queue jobs | css | html | caching | laravel | vue.js | composer | linux | eloquent orm | blade templates | docker | api authentication | mysql | phpunit | rest api | git | wordpress
Site Reliability Engineer,incident management | slo/sla | automation | networking | kubernetes | chaos engineering | grafana | cloud | capacity planning | monitoring | python | prometheus | postmortem | runbooks | docker | on-call practices | linux
Flutter Developer,riverpod | git | firebase | testing | sqlite | app store deployment | rest api | flavors | dart | state management | clean architecture | push notifications | ui/ux design | responsive layouts | flutter | platform channels | internationalization | animations
Technical Writer,technical writing | style guides | html | knowledge base | user manuals | collaboration tools | research skills | editing | api documentation | dita | diagramming tools | release notes | communication | information architecture | content strategy | version control
Kubernetes Engineer,operators | helm | cloud | terraform | service mesh | cluster management | argocd | istio | python | bash | docker | ci/cd | kubernetes | performance tuning | monitoring | linux
Business Intelligence Developer,excel | data modeling | sap bi | tableau | ssrs | power bi | data governance | looker | qlikview | olap | data quality | etl | google data studio | python | reporting | azure synapse | data warehousing
AI Safety Engineer,stakeholder engagement | interpretability | policy understanding | research | communication | red teaming | reinforcement learning | llms | documentation | safety engineering | python | deep learning | machine learning | robustness testing | risk assessment | bias detection
GraphQL Developer,apollo | typescript | rest api | javascript | dataloader | graphql | federation | git | mongodb | react | resolvers | redis | subscriptions | schema design | docker | testing
PHP Developer,mysql | rest api | css | caching | wordpress | git | html | linux | vue.js | api authentication | docker | php | javascript | blade templates | redis
PHP Developer,queue jobs | git | css | docker | redis | vue.js | caching | api authentication | phpunit | eloquent orm | blade templates | php | mysql | rest api | linux | html | javascript | wordpress
Flutter Developer,ci/cd | bloc pattern | ui/ux design | firebase | platform channels | animations | riverpod | git | clean architecture | testing | rest api | responsive layouts | dart | flavors | state management | app store deployment
IoT Developer,linux | firmware development | security | mqtt | microcontrollers | c | electronics | edge computing | azure iot | raspberry pi | api integration | networking | data analytics | cloud | device management | python | arduino
Data Analyst,data cleaning | power bi | r | tableau | pivot tables | looker | data visualization | google analytics | storytelling with data | statistics | excel | sql | dax | pandas | power query | google sheets | python
